ano;CLF_rc_2015;NCLF_rc_2015;;;;;;;;ano;CHF_rc_2015;NCHF_rc_2015;;ano;CLF_rc_2016;NCLF_rc_2016;CHF_rc_2016;NCHF_rc_2016;;;CLF_rc_2017;NCLF_rc_2017;CHF_rc_2017;NCHF_rc_2017;;;CLF_rc_2018;NCLF_rc_2018;CHF_rc_2018;NCHF_rc_2018;;;;;;;;;;;;;;
2015;4.42;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;8.16;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;40.94;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;2.83;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;0;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;47.05;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;42.75;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;0;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;4.61;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;8.97;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;3.36;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;0.54;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;21.82;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;3.4;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;0.62;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;5.63;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;2.03;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
